City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kenai,60.5544,-151.2583,55.02,85,100,17.27,US,1660015032
Ushuaia,-54.8,-68.3,38.86,60,75,10.36,AR,1660015315
Seoul,37.5683,126.9778,78.19,100,100,6.91,KR,1660015316
Kruisfontein,-34.0033,24.7314,49.89,89,95,7.23,ZA,1660015316
Townsville,-19.25,146.8,72.48,43,0,14.97,AU,1660015100
Muhos,64.808,25.9931,46.18,90,28,3.78,FI,1660015316
Nara,34.6851,135.8049,97.97,35,86,5.77,JP,1660015207
Harbour Breton,47.4833,-55.7983,60.44,77,63,18.05,CA,1660015317
Dikson,73.5069,80.5464,41.86,96,43,19.95,RU,1660015317
New Norfolk,-42.7826,147.0587,54.91,47,5,1.77,AU,1660015317
Jamestown,42.097,-79.2353,73.04,72,100,13.8,US,1660015318
Bengkulu,-3.8004,102.2655,82.58,71,6,5.53,ID,1660015097
Puerto Ayora,-0.7393,-90.3518,68.56,89,82,1.99,EC,1660015318
Khatanga,71.9667,102.5,65.7,59,40,20.58,RU,1660015318
Yellowknife,62.456,-114.3525,61.32,63,75,6.91,CA,1660015319
Punta Arenas,-53.15,-70.9167,37.51,81,100,13.8,CL,1660015319
Tasiilaq,65.6145,-37.6368,39.36,96,100,1.72,GL,1660015319
Luwuk,-0.9516,122.7875,82.47,80,34,5.06,ID,1660015319
Vila,42.0304,-8.1588,59.7,85,0,3.91,PT,1660015320
Vila Velha,-20.3297,-40.2925,73.35,86,0,3.44,BR,1660015320
Kapaa,22.0752,-159.319,84.18,73,40,12.66,US,1660015320
Hermanus,-34.4187,19.2345,54.81,79,4,2.55,ZA,1660015321
Saint George,37.1041,-113.5841,99.19,26,0,11.5,US,1660015321
Lompoc,34.6391,-120.4579,71.56,83,0,21.0,US,1660015321
Otane,-39.8833,176.6333,53.01,92,100,11.95,NZ,1660015322
Tuktoyaktuk,69.4541,-133.0374,62.6,63,100,8.05,CA,1660015322
Tual,-5.6667,132.75,78.15,86,100,22.08,ID,1660015322
Vaini,-21.2,-175.2,80.76,89,40,11.5,TO,1660015323
Thompson,55.7435,-97.8558,62.76,94,75,0.0,CA,1660015235
Carnarvon,-24.8667,113.6333,66.97,47,1,20.15,AU,1660015323
Busselton,-33.65,115.3333,51.85,69,91,16.91,AU,1660015323
Bluff,-46.6,168.3333,45.97,57,5,13.76,NZ,1660015324
Fort Nelson,58.8053,-122.7002,69.39,35,40,8.05,CA,1660015324
Rikitea,-23.1203,-134.9692,73.67,78,99,19.44,PF,1660015324
Longyearbyen,78.2186,15.6401,46.24,81,75,8.05,SJ,1660015057
Mataura,-46.1927,168.8643,45.19,58,4,7.16,NZ,1660015325
East London,-33.0153,27.9116,56.34,94,0,5.75,ZA,1660015150
Paamiut,61.994,-49.6678,41.58,86,100,18.23,GL,1660015325
Okhotsk,59.3833,143.3,64.76,62,100,23.42,RU,1660015325
Cape Town,-33.9258,18.4232,53.91,89,2,1.99,ZA,1660015326
Mincivan,39.0294,46.7185,74.62,68,0,0.47,AZ,1660015326
Khani,41.9563,42.9566,58.57,76,0,5.75,GE,1660015327
Quatre Cocos,-20.2078,57.7625,69.91,76,50,14.38,MU,1660015327
Qaanaaq,77.484,-69.3632,33.33,60,0,3.98,GL,1660015327
Axams,47.2081,11.2869,51.04,88,2,2.3,AT,1660015327
Barentu,15.1139,37.5928,68.74,89,100,4.88,ER,1660015328
Lindi,-10.0,39.7167,63.39,96,19,4.41,TZ,1660015328
Narsaq,60.9167,-46.05,44.82,86,68,2.59,GL,1660015071
